iter	RMSE
0	656.0338768
1	642.3228922
2	628.7980081
3	615.2640111
4	602.0885274
5	589.7894205
6	579.5817052
7	569.1906356
8	558.7837372
9	548.2757838
10	539.6683034
11	531.1475705
12	522.5846398
13	514.6336338
14	506.2613923
15	497.5988433
16	489.3174861
17	482.1613321
18	474.7495892
19	468.3913124
20	462.4416299
21	455.4871499
22	449.5959198
23	443.8960531
24	438.3953887
25	432.8993187
26	427.2243982
27	422.2907961
28	417.5088667
29	412.9716068
30	407.6125838
31	403.2954491
32	399.1196979
33	394.5567458
34	390.6053209
35	386.3453038
36	382.5443078
37	379.155609
38	375.6183571
39	372.5483143
40	368.8538808
41	365.5842284
42	362.7535494
43	360.3963679
44	357.8045314
45	355.1908237
46	352.5387233
47	349.9803352
48	347.2615274
49	344.6890416
50	342.6478564
51	340.4376459
52	338.1529076
53	335.8007261
54	333.9017
55	332.0337386
56	330.0304487
57	328.0155924
58	326.449478
59	325.3374199
60	323.5211176
61	322.047103
62	320.7531625
63	319.5060589
64	318.3107669
65	316.7553656
66	315.3721685
67	313.8000228
68	311.9605335
69	310.4394106
70	308.793065
71	307.4949676
72	306.2118001
73	305.2006819
74	304.7181024
75	303.4696508
76	302.0833343
77	300.9438541
78	299.7039638
79	298.7044972
80	297.8967248
81	296.9501715
82	295.9620714
83	295.3413383
84	294.1871737
85	293.0877434
86	292.1566816
87	291.063308
88	290.17117
89	289.7093538
90	288.7732875
91	288.0829773
92	287.5047185
93	286.8113393
94	285.6896855
95	284.9716974
96	283.9283573
97	283.5051385
98	282.7997547
99	282.008066
100	281.2773036
101	280.296357
102	279.4799182
103	278.4802539
104	277.7209818
105	276.945045
106	275.921224
107	275.2393728
108	274.7230082
109	274.4993384
110	273.8261082
111	272.9250934
112	272.3889187
113	272.0647596
114	271.188056
115	270.6301889
116	269.9228876
117	269.1239483
118	268.3866983
119	267.8073391
120	266.9831467
121	266.6835796
122	266.0910214
123	265.4464592
124	264.833593
125	264.2883266
126	263.7471321
127	263.3798293
128	262.9616274
129	262.5697432
130	261.9163012
131	261.5178897
132	261.002246
133	260.495177
134	259.8208125
135	259.1972005
136	258.6413675
137	258.1843887
138	257.5735798
139	257.3870558
140	256.8886535
141	256.323669
142	255.7371364
143	255.2487669
144	254.6231551
145	254.1186764
146	253.5849804
147	252.9850133
148	252.3881689
149	251.5888875
150	250.9639614
151	250.5653313
152	250.0865408
153	249.6133413
154	249.1759015
155	248.7887109
156	248.2422173
157	247.7504344
158	247.1181692
159	247.0388061
160	246.6264397
161	246.1594454
162	245.9800457
163	245.4228027
164	244.8375462
165	244.5845657
166	244.232099
167	244.0184083
168	243.7654904
169	243.4294359
170	243.0942287
171	242.6830982
172	242.3462747
173	241.9912708
174	241.7861575
175	241.5058866
176	240.9363162
177	240.3281141
178	239.8694418
179	239.3959613
180	239.0605236
181	238.614321
182	238.1433443
183	237.6901886
184	237.4602689
185	236.9965384
186	236.7483486
187	236.3946082
188	235.82074
189	235.317617
190	235.0000459
191	234.6942521
192	234.3033389
193	233.9079852
194	233.6876658
195	233.3009814
196	233.1164974
197	232.8834084
198	232.1285988
199	231.8342634
200	231.5124075
201	230.9309834
202	230.7333386
203	230.6303402
204	230.1149851
205	229.706879
206	229.5174047
207	229.2756377
208	228.9111211
209	228.3621286
210	227.7942159
211	227.630962
212	227.3880463
213	227.2443778
214	226.8509103
215	226.3876872
216	226.12093
217	225.7776929
218	225.2220143
219	224.7867846
220	224.4679524
221	224.1153714
222	223.8764904
223	223.6761681
224	223.541724
225	223.3444552
226	222.9930638
227	222.5896643
228	221.985847
229	221.6516687
230	221.3086338
231	221.0512187
232	220.8305374
233	220.5999776
234	220.3349858
235	219.9565731
236	219.7099091
237	219.4288075
238	219.2126654
239	218.7156593
240	218.1045378
241	217.3923569
242	217.1184346
243	216.8548451
244	216.5486045
245	216.3251406
246	216.0857915
247	215.6171992
248	215.4209074
249	215.0817752
250	214.6082013
251	214.5335996
252	214.119323
253	213.8342344
254	213.6677693
255	213.4762851
256	213.1537453
257	212.8650141
258	212.3986331
259	212.1502155
260	211.9157766
261	211.6410362
262	211.2133886
263	210.9171878
264	210.8576314
265	210.6579909
266	210.2376849
267	210.1328791
268	209.9294492
269	209.8906331
270	209.6592973
271	209.3333822
272	209.1445185
273	208.7804698
274	208.5826416
275	208.4145702
276	208.1101541
277	208.0780179
278	207.9321212
279	207.9011715
280	207.6010734
281	207.0501929
282	206.8591489
283	206.7607081
284	206.4488856
285	206.1636409
286	205.9182044
287	205.6053726
288	205.3838025
289	205.3637014
290	205.2088355
291	205.1839176
292	205.0376153
293	204.7907646
294	204.6310858
295	204.5726598
296	204.0921437
297	203.6510315
298	203.4220111
299	203.2899754
300	203.2449978
301	202.9631486
302	202.7838356
303	202.6432935
304	202.4238868
305	202.3727276
306	202.3317355
307	202.1366762
308	201.9490078
309	201.6894945
310	201.3352658
311	201.2654423
312	201.1418039
313	201.0663773
314	201.0447055
315	201.0158571
316	200.7513148
317	200.4645095
318	200.1927043
319	199.952573
320	199.8850954
321	199.8676712
322	199.6609748
323	199.5105047
324	199.4957701
325	199.2104176
326	198.960921
327	198.7855154
328	198.6679985
329	198.3959691
330	198.1916967
331	198.1694005
332	197.9930429
333	197.8251648
334	197.6039551
335	197.1194064
336	197.082525
337	196.8465722
338	196.7558623
339	196.4219412
340	196.3809189
341	196.1310898
342	195.9435995
343	195.8243649
344	195.4808717
345	195.4664488
346	195.3366808
347	195.1506411
348	194.6839526
349	194.2532366
350	194.036184
351	193.8900362
352	193.5464586
353	193.4543625
354	193.4384006
355	193.2785701
356	193.2625813
357	193.160985
358	193.1460513
359	192.9727267
360	192.8071526
361	192.3801771
362	192.2274906
363	192.0647367
364	191.9627958
365	191.7246668
366	191.411059
367	190.9776907
368	190.942379
369	190.8258141
370	190.7722854
371	190.6090722
372	190.5957846
373	190.447944
374	190.3720075
375	190.3171657
376	190.1820057
377	189.8542408
378	189.7942066
379	189.3776272
380	189.0507088
381	188.7789745
382	188.5230835
383	188.2182973
384	188.133722
385	187.8375015
386	187.7503635
387	187.2971712
388	187.0911408
389	187.0593887
390	186.9191959
391	186.8907575
392	186.6800599
393	186.6681393
394	186.5236164
395	186.4786367
396	186.3616588
397	186.3164733
398	186.1791514
399	186.0069619
400	185.5685171
401	185.4363848
402	185.1446578
403	184.9629295
404	184.7160049
405	184.557401
406	184.236312
407	183.9377094
408	183.7363354
409	183.5229974
410	183.2802066
411	183.2696022
412	183.2315208
413	183.1540395
414	183.0353845
415	182.8704111
416	182.716214
417	182.3678033
418	182.0537493
419	181.9786192
420	181.8740122
421	181.6472963
422	181.6156729
423	181.4340023
424	181.4184127
425	181.2732047
426	181.1736961
427	181.1415178
428	181.062922
429	181.0105795
430	180.8311118
431	180.808611
432	180.6507479
433	180.339413
434	180.2456682
435	179.9762864
436	179.8091088
437	179.6993345
438	179.6743639
439	179.4882704
440	179.2055194
441	179.0503754
442	178.6047865
443	178.5969837
444	178.3493842
445	178.34024
446	178.1461872
447	177.8098053
448	177.6097077
449	177.5214406
450	177.4950138
451	177.4713627
452	177.2046134
453	177.1028103
454	177.0845329
455	177.0669735
456	176.8575716
457	176.6757932
458	176.3549309
459	176.3013933
460	176.2558614
461	175.962893
462	175.7646693
463	175.6066559
464	175.3086714
465	175.1354902
466	175.1269813
467	175.0262765
468	174.766064
469	174.6634431
470	174.4755418
471	174.1143098
472	173.8245658
473	173.6856986
474	173.552645
475	173.4939738
476	173.4338389
477	173.1735609
478	173.0691764
479	172.9437506
480	172.8656073
481	172.6675678
482	172.3403871
483	172.1650571
484	172.0952901
485	171.9645355
486	171.8023537
487	171.6666376
488	171.5243364
489	171.2635985
490	171.0491075
491	170.9985665
492	170.9906189
493	170.8646425
494	170.8561376
495	170.6986953
496	170.6403709
497	170.6180478
498	170.4309994
499	170.2730081
500	170.0764591
501	169.8709975
502	169.8632515
503	169.8514569
504	169.7706721
505	169.7489607
506	169.4997758
507	169.3966795
508	169.2951955
509	169.1401292
510	169.0229629
511	169.0161818
512	168.9362036
513	168.8223428
514	168.6295829
515	168.619269
516	168.5065374
517	168.4994245
518	168.3749558
519	168.1172215
520	168.0488839
521	168.0415558
522	168.0353688
523	167.8218404
524	167.8167021
525	167.5180312
526	167.3252773
527	167.1829084
528	167.1733455
529	166.9853938
530	166.8071728
531	166.5780012
532	166.4170466
533	166.3527865
534	166.2266919
535	166.0484328
536	165.927411
537	165.8284441
538	165.5925744
539	165.4423936
540	165.2489184
541	165.2434104
542	165.0240177
543	164.765073
544	164.6623458
545	164.507522
546	164.4413604
547	164.3240327
548	164.2859232
549	164.2019822
550	164.102634
551	163.922692
552	163.8512653
553	163.7269423
554	163.6646494
555	163.5598973
556	163.4570068
557	163.293238
558	163.2431038
559	163.1011814
560	162.9228522
561	162.8044202
562	162.5883647
563	162.464327
564	162.3765815
565	162.3698489
566	162.2779658
567	162.1902313
568	161.9794974
569	161.7802825
570	161.6516147
571	161.421196
572	161.1764621
573	161.0104276
574	160.9257532
575	160.822228
576	160.6799347
577	160.647383
578	160.5212835
579	160.5131608
580	160.3012884
581	160.1684037
582	159.9840444
583	159.8706358
584	159.8643622
585	159.8013603
586	159.5361859
587	159.4110661
588	159.2729479
589	159.1087157
590	158.9602229
591	158.9550542
592	158.9028789
593	158.6883582
594	158.5324589
595	158.3706259
596	158.1952717
597	158.0569227
598	157.9679153
599	157.9126867
600	157.7902357
601	157.7060588
602	157.6050586
603	157.4212977
604	157.3335716
605	157.1489366
606	157.0714654
607	156.983988
608	156.9727081
609	156.8801794
610	156.7544151
611	156.5753835
612	156.4056251
613	156.2339717
614	156.1806687
615	156.0516851
616	155.8390087
617	155.7586154
618	155.6846902
619	155.6413093
620	155.5281721
621	155.4023378
622	155.3196924
623	155.2061729
624	155.0382064
625	154.794335
626	154.5531268
627	154.4103465
628	154.2853546
629	154.1355883
630	153.9780964
631	153.8355615
632	153.7340649
633	153.4751219
634	153.4011015
635	153.3111291
636	153.1363135
637	153.030437
638	152.8037594
639	152.7188206
640	152.4906482
641	152.4384789
642	152.3477524
643	152.318034
644	152.2906785
645	152.1576899
646	152.0299462
647	151.9762453
648	151.7694678
649	151.6756843
650	151.5627338
651	151.4007505
652	151.2810806
653	151.1527628
654	151.0383764
655	151.0349052
656	150.9225722
657	150.8125726
658	150.7225157
659	150.6220539
660	150.5382048
661	150.4601468
662	150.299954
663	150.215467
664	150.142292
665	150.0318263
666	149.8866043
667	149.750291
668	149.6774186
669	149.6568805
670	149.6533118
671	149.5027291
672	149.3484072
673	149.2776095
674	149.1728006
675	149.0630361
676	148.8835682
677	148.8185928
678	148.7250709
679	148.6463511
680	148.5646734
681	148.4182473
682	148.2978618
683	148.2560115
684	148.1145854
685	147.9794986
686	147.8321066
687	147.7141095
688	147.6482482
689	147.5768274
690	147.5734692
691	147.4784767
692	147.4347209
693	147.3384887
694	147.1727093
695	146.9764629
696	146.8649695
697	146.7860875
698	146.6704107
699	146.5339245
700	146.4766613
701	146.3515825
702	146.2484389
703	146.1747967
704	146.051108
705	145.989485
706	145.8222544
707	145.7669374
708	145.6132486
709	145.5533307
710	145.5303869
711	145.466764
712	145.3093478
713	145.2573788
714	145.0507924
715	145.0040272
716	144.8958951
717	144.8450244
718	144.7719016
719	144.6500111
720	144.5346652
721	144.4335048
722	144.2889384
723	144.247816
724	144.1052808
725	144.1021582
726	144.0221846
727	143.8715988
728	143.7938328
729	143.6865462
730	143.5933973
731	143.4763719
732	143.361629
733	143.3412392
734	143.2047011
735	143.13947
736	142.9684793
737	142.8862597
738	142.8831362
739	142.8440328
740	142.8214862
741	142.7910216
742	142.7138914
743	142.5345696
744	142.5136038
745	142.4672249
746	142.3769979
747	142.2285657
748	142.1997123
749	142.1133716
750	142.0160961
751	141.9884072
752	141.9419428
753	141.8986009
754	141.8478793
755	141.7359553
756	141.648362
757	141.6452656
758	141.555581
759	141.4436886
760	141.304861
761	141.2566725
762	141.1295568
763	141.0450235
764	141.0164773
765	140.9282783
766	140.808171
767	140.738584
768	140.6682527
769	140.638901
770	140.4509859
771	140.3638599
772	140.2497766
773	140.1009201
774	139.9636307
775	139.9210397
776	139.8661923
777	139.7976887
778	139.7426552
779	139.5474
780	139.4070019
781	139.3260543
782	139.2100511
783	139.1600966
784	139.0562761
785	138.956274
786	138.9339059
787	138.8399926
788	138.7137129
789	138.648567
790	138.6310499
791	138.5537217
792	138.4801924
793	138.4472513
794	138.3612515
795	138.2991243
796	138.1995308
797	138.1115864
798	138.0495285
799	137.9771507
800	137.9508621
801	137.8776276
802	137.8110885
803	137.7832756
804	137.6891864
805	137.6211364
806	137.5691163
807	137.4859764
808	137.4210035
809	137.3712532
810	137.2952488
811	137.2433225
812	137.0777803
813	136.9792187
814	136.9296495
815	136.8330908
816	136.6935337
817	136.5717866
818	136.4923307
819	136.3931211
820	136.349574
821	136.2764693
822	136.182212
823	136.1063466
824	136.0292768
825	136.0099478
826	135.9657933
827	135.8731391
828	135.8580702
829	135.7997638
830	135.7959869
831	135.6716033
832	135.6336787
833	135.5783803
834	135.5464519
835	135.4880878
836	135.4635189
837	135.3640075
838	135.2893691
839	135.2570093
840	135.2116875
841	135.1492439
842	135.1100307
843	135.0175065
844	134.9039658
845	134.7751117
846	134.6732292
847	134.670583
848	134.6015976
849	134.5232836
850	134.4543027
851	134.3847438
852	134.2820265
853	134.2787474
854	134.2194362
855	134.1546954
856	134.1348331
857	134.0024376
858	133.9587368
859	133.8516812
860	133.810372
861	133.75854
862	133.6975555
863	133.6462119
864	133.5995188
865	133.5467012
866	133.4780643
867	133.3977196
868	133.2506695
869	133.2280959
870	133.2142095
871	133.1161069
872	133.0312262
873	133.016629
874	132.9890592
875	132.9402917
876	132.9233843
877	132.8073628
878	132.7147382
879	132.6971296
880	132.5736448
881	132.4557717
882	132.316653
883	132.3021261
884	132.1728314
885	132.1214935
886	132.0283601
887	131.9543906
888	131.9245021
889	131.8211842
890	131.7110248
891	131.6940823
892	131.6738457
893	131.6227159
894	131.5885277
895	131.586156
896	131.4750404
897	131.4531494
898	131.3499987
899	131.2438417
900	131.1617473
901	131.0393895
902	130.9677741
