iter	Passed	Remaining
464	757	871
465	758	869
466	759	867
467	761	865
468	762	863
469	763	861
470	764	859
471	766	857
472	767	855
473	768	853
474	770	851
475	771	849
476	772	847
477	774	845
478	775	843
479	776	841
480	777	839
481	779	837
482	780	835
483	781	833
484	783	831
485	784	829
486	785	827
487	787	825
488	788	823
489	789	821
490	790	819
491	792	817
492	793	816
493	794	814
494	796	812
495	797	810
496	798	808
497	800	806
498	801	804
499	802	802
500	804	801
501	805	799
502	806	797
503	808	795
504	809	793
505	810	791
506	812	789
507	813	787
508	814	785
509	816	784
510	817	782
511	818	780
512	819	778
513	821	776
514	822	774
515	823	772
516	825	770
517	826	768
518	827	767
519	829	765
520	830	763
521	831	761
522	832	759
523	834	757
524	835	755
525	836	754
526	838	752
527	839	750
528	840	748
529	842	746
530	843	744
531	844	743
532	845	741
533	847	739
534	848	737
535	849	735
536	851	733
537	852	731
538	853	730
539	854	728
540	856	726
541	857	724
542	858	722
543	860	721
544	861	719
545	862	717
546	864	715
547	865	713
548	866	711
549	867	710
550	869	708
551	870	706
552	871	704
553	873	702
554	874	701
555	875	699
556	877	697
557	878	695
558	879	694
559	881	692
560	882	690
561	883	688
562	885	687
563	886	685
564	887	683
565	889	681
566	890	679
567	891	678
568	893	676
569	894	674
570	895	672
571	896	671
572	898	669
573	899	667
574	900	665
575	902	664
576	903	662
577	904	660
578	906	658
579	907	657
580	908	655
581	910	653
582	911	651
583	912	650
584	913	648
585	915	646
586	916	644
587	917	643
588	919	641
589	920	639
590	921	637
591	923	636
592	924	634
593	925	632
594	927	631
595	928	629
596	929	627
597	930	625
598	932	624
599	933	622
600	934	620
601	936	619
602	937	617
603	938	615
604	940	613
605	941	612
606	943	610
607	944	608
608	945	607
609	947	605
610	948	603
611	949	602
612	951	600
613	952	598
614	953	597
615	955	595
616	956	593
617	957	592
618	959	590
619	960	588
620	962	587
621	963	585
622	964	583
623	966	582
624	967	580
625	968	578
626	970	577
627	971	575
628	973	573
629	974	572
630	975	570
631	977	568
632	978	567
633	979	565
634	981	563
635	982	562
636	983	560
637	985	558
638	986	557
639	987	555
640	989	553
641	990	552
642	991	550
643	993	548
644	994	547
645	995	545
646	997	544
647	998	542
648	999	540
649	1001	539
650	1002	537
651	1003	535
652	1004	534
653	1006	532
654	1007	530
655	1008	529
656	1010	527
657	1011	525
658	1012	524
659	1014	522
660	1015	520
661	1016	519
662	1018	517
663	1019	515
664	1020	514
665	1022	512
666	1023	510
667	1024	509
668	1025	507
669	1027	505
670	1028	504
671	1030	502
672	1031	501
673	1032	499
674	1034	497
675	1035	496
676	1036	494
677	1038	493
678	1039	491
679	1040	489
680	1042	488
681	1043	486
682	1044	485
683	1046	483
684	1047	481
685	1048	480
686	1050	478
687	1051	476
688	1052	475
689	1054	473
690	1055	472
691	1056	470
692	1058	468
693	1059	467
694	1060	465
695	1062	463
696	1063	462
697	1064	460
698	1066	459
699	1067	457
700	1068	455
701	1069	454
702	1071	452
703	1072	450
704	1073	449
705	1075	447
706	1076	446
707	1077	444
708	1079	442
709	1080	441
710	1081	439
711	1082	438
712	1084	436
713	1085	434
714	1086	433
715	1088	431
716	1089	430
717	1090	428
718	1092	426
719	1093	425
720	1094	423
721	1096	422
722	1097	420
723	1098	418
724	1099	417
725	1101	415
726	1102	414
727	1103	412
728	1105	410
729	1106	409
730	1107	407
731	1108	406
732	1110	404
733	1111	402
734	1112	401
735	1114	399
736	1115	398
737	1116	396
738	1118	394
739	1119	393
740	1120	391
741	1121	390
742	1123	388
743	1124	386
744	1125	385
745	1127	383
746	1128	382
747	1129	380
748	1131	379
749	1132	377
750	1133	375
751	1135	374
752	1136	372
753	1137	371
754	1139	369
755	1140	368
756	1141	366
757	1142	364
758	1144	363
759	1145	361
760	1146	360
761	1148	358
762	1149	357
763	1150	355
764	1152	353
765	1153	352
766	1154	350
767	1155	349
768	1157	347
769	1158	346
770	1159	344
771	1161	342
772	1162	341
773	1163	339
774	1165	338
775	1166	336
776	1167	335
777	1169	333
778	1170	332
779	1171	330
780	1172	328
781	1174	327
782	1175	325
783	1176	324
784	1178	322
785	1179	321
786	1180	319
787	1182	318
788	1183	316
789	1184	314
790	1186	313
791	1187	311
792	1188	310
793	1189	308
794	1191	307
795	1192	305
796	1193	304
797	1195	302
798	1196	300
799	1197	299
800	1199	297
801	1200	296
802	1201	294
803	1203	293
804	1204	291
805	1205	290
806	1207	288
807	1208	287
808	1209	285
809	1211	284
810	1211	282
811	1213	280
812	1214	279
813	1215	277
814	1217	276
815	1218	274
816	1219	273
817	1221	271
818	1222	270
819	1223	268
820	1224	267
821	1226	265
822	1227	263
823	1228	262
824	1230	260
825	1231	259
826	1232	257
827	1233	256
828	1235	254
829	1236	253
830	1237	251
831	1239	250
832	1240	248
833	1241	247
834	1242	245
835	1244	244
836	1245	242
837	1246	241
838	1248	239
839	1249	237
840	1250	236
841	1252	234
842	1253	233
843	1254	231
844	1255	230
845	1257	228
846	1258	227
847	1259	225
848	1261	224
849	1262	222
850	1263	221
851	1264	219
852	1266	218
853	1267	216
854	1268	215
855	1270	213
856	1271	212
857	1272	210
858	1274	209
859	1275	207
860	1276	206
861	1278	204
862	1279	203
863	1280	201
864	1282	200
865	1283	198
866	1284	197
867	1285	195
868	1287	194
869	1288	192
870	1289	191
871	1291	189
872	1292	188
873	1293	186
874	1295	185
875	1296	183
876	1297	182
877	1299	180
878	1300	178
879	1301	177
880	1302	175
881	1304	174
882	1305	172
883	1306	171
884	1308	169
885	1309	168
886	1310	166
887	1311	165
888	1313	163
889	1314	162
890	1315	160
891	1317	159
892	1318	157
893	1319	156
894	1321	154
895	1322	153
896	1323	152
897	1325	150
898	1326	149
899	1327	147
900	1329	146
901	1330	144
902	1331	143
903	1332	141
904	1334	140
905	1335	138
906	1336	137
907	1338	135
908	1339	134
909	1340	132
910	1342	131
911	1343	129
912	1344	128
913	1346	126
914	1347	125
915	1348	123
916	1349	122
917	1351	120
918	1352	119
919	1353	117
920	1355	116
921	1356	114
922	1357	113
923	1359	111
924	1360	110
925	1361	108
926	1362	107
927	1364	105
928	1365	104
929	1366	102
930	1367	101
931	1369	99
932	1370	98
933	1371	96
934	1373	95
935	1374	93
936	1375	92
937	1377	91
938	1378	89
939	1379	88
940	1380	86
941	1382	85
942	1383	83
943	1384	82
944	1386	80
945	1387	79
946	1388	77
947	1389	76
948	1391	74
949	1392	73
950	1393	71
951	1395	70
952	1396	68
953	1397	67
954	1399	65
955	1400	64
956	1401	62
957	1403	61
958	1404	60
959	1405	58
960	1407	57
961	1408	55
962	1409	54
963	1410	52
964	1412	51
965	1413	49
966	1415	48
967	1416	46
968	1417	45
969	1419	43
970	1420	42
971	1421	40
972	1423	39
973	1424	38
974	1425	36
975	1427	35
976	1428	33
977	1430	32
978	1431	30
979	1432	29
980	1433	27
981	1435	26
982	1436	24
983	1437	23
984	1439	21
985	1440	20
986	1441	18
987	1443	17
988	1444	16
989	1445	14
990	1447	13
991	1448	11
992	1449	10
993	1450	8
994	1452	7
995	1453	5
996	1454	4
997	1456	2
998	1457	1
999	1458	0
