iter	Logloss
0	0.6887472814
1	0.6846892113
2	0.680490327
3	0.6762853795
4	0.6722722445
5	0.6690790541
6	0.6651395548
7	0.6619221159
8	0.6572501339
9	0.6538299986
10	0.6505817142
11	0.6467573547
12	0.6435160797
13	0.6402185603
14	0.6359848704
15	0.6319929597
16	0.6282251732
17	0.6253624561
18	0.6230706486
19	0.6194737433
20	0.6158881877
21	0.6134543609
22	0.6104445799
23	0.607569126
24	0.6039667218
25	0.6011476691
26	0.5982927555
27	0.5952587789
28	0.5919609073
29	0.5887743115
30	0.5861061302
31	0.5832776648
32	0.5812677054
33	0.5781476539
34	0.5761332441
35	0.5731956911
36	0.5708171217
37	0.568754518
38	0.5670015306
39	0.5654411854
40	0.5630103233
41	0.5602242505
42	0.5577934944
43	0.5553310131
44	0.553022048
45	0.5511290961
46	0.5490009975
47	0.547504719
48	0.5454637
49	0.5435212851
50	0.541265399
51	0.5397083957
52	0.5382053258
53	0.5364435465
54	0.5344886691
55	0.5324486716
56	0.5310212416
57	0.5285835395
58	0.5266861859
59	0.5248504031
60	0.5228597395
61	0.5206630259
62	0.5189147414
63	0.5174648694
64	0.5160489473
65	0.5142328578
66	0.5128058927
67	0.5110019401
68	0.509672049
69	0.5082813961
70	0.5067630681
71	0.5049983272
72	0.5033806791
73	0.5021262219
74	0.5006817465
75	0.4997314954
76	0.4984704697
77	0.4970338527
78	0.4955100099
79	0.4939798188
80	0.4924923595
81	0.4911743534
82	0.4897346761
83	0.488552406
84	0.4875784736
85	0.4864281855
86	0.485467664
87	0.4842982014
88	0.4831132598
89	0.4816404471
90	0.480455184
91	0.4793146419
92	0.4785626852
93	0.4775242829
94	0.4762834164
95	0.4755513978
96	0.4746048739
97	0.4735860737
98	0.4727420984
99	0.4717028937
100	0.4708929355
101	0.4697693097
102	0.4687062332
103	0.4674138552
104	0.4663270207
105	0.4652019568
106	0.464108062
107	0.4631307306
108	0.461924607
109	0.4608841278
110	0.4601280904
111	0.4588155328
112	0.4580364727
113	0.4575617712
114	0.456715172
115	0.4557304237
116	0.455052823
117	0.4540673566
118	0.4533375926
119	0.4525272215
120	0.451505017
121	0.450462103
122	0.4496785665
123	0.4487105316
124	0.4480958059
125	0.4472838046
126	0.4466208823
127	0.4457268906
128	0.4449079372
129	0.4439477073
130	0.4432119375
131	0.4423761457
132	0.441590753
133	0.4407989442
134	0.4400239968
135	0.4394270334
136	0.4384030755
137	0.4377325237
138	0.4370359632
139	0.4365117138
140	0.43574057
141	0.4348102747
142	0.4340826551
143	0.4334224405
144	0.4327048621
145	0.4323769231
146	0.4316765994
147	0.4308084293
148	0.4302059691
149	0.4293311291
150	0.4287418797
151	0.4280897709
152	0.4273114412
153	0.4266674089
154	0.4260859705
155	0.4253011469
156	0.4246839715
157	0.4238137775
158	0.4233233122
159	0.4227118098
160	0.4221299101
161	0.4217414626
162	0.4208285235
163	0.4201590263
164	0.4194437573
165	0.4188047738
166	0.4182359444
167	0.4178494677
168	0.4172467822
169	0.4166138259
170	0.416148831
171	0.4154806292
172	0.4147441125
173	0.4142949748
174	0.4138831718
175	0.4134958196
176	0.4129612327
177	0.4122745961
178	0.4116554404
179	0.4111141521
180	0.4104036108
181	0.4097085147
182	0.4092064015
183	0.4086020559
184	0.4079602379
185	0.4072711164
186	0.4066853717
187	0.4062094571
188	0.4056205854
189	0.4052092673
190	0.4048274296
191	0.4044412457
192	0.4041056315
193	0.4034721743
194	0.4028979482
195	0.4024929616
196	0.4020412583
197	0.4017873775
198	0.4013718487
199	0.400816679
200	0.4004607107
201	0.3998886667
202	0.3995267874
203	0.39917202
204	0.3987729765
205	0.3982629274
206	0.3977049478
207	0.3970862208
208	0.3966443658
209	0.3962464114
210	0.3956589588
211	0.3952950785
212	0.3948281673
213	0.3944132094
214	0.3936684842
215	0.3930880174
216	0.3927798429
217	0.392276244
218	0.3918017531
219	0.3912448083
220	0.3909072716
221	0.3905404173
222	0.389996726
223	0.3896658204
224	0.3892696011
225	0.3890317186
226	0.3886549482
227	0.3883375817
228	0.3879281483
229	0.3876071708
230	0.3871458152
231	0.3867620166
232	0.3863795691
233	0.3858492168
234	0.3852128153
235	0.3847786772
236	0.3844953498
237	0.3839808736
